0,Sentence,Part1 Sentiment,Part2 Sentiment,Transition Word
53,ಕಂಪನಿ ಮಾಲೀಕರು ಸ್ಪಂದಿಸುವ ಸೌಜನ್ಯ ತೋರಿರಲಿಲ್ಲ ಹೀಗಾಗಿ ಪ್ರತಿಭಟನೆ ತೀವ್ರ ಸ್ವರೂಪ ಪಡೆದುಕೊಂಡಿತ್ತು,Negetive,Negetive,ಹೀಗಾಗಿ
54,ಪ್ರತಿಭಟನೆ ವೇಳೆ ಪೊಲೀಸರು ಮತ್ತು ರೈತರ ನಡುವೆ ಘರ್ಷಣೆ ಕೂಡ ನಡೆದಿತ್ತು ಹೀಗಾಗಿ ಪರಿಸ್ಥಿತಿ ನಿಯಂತ್ರಿಸಲು ಪೊಲೀಸರು ಗೋಲಿಬಾರ್ ನಡೆಸಿದ್ದಾರೆ,Negetive,Negetive,ಹೀಗಾಗಿ
55,"ಹುಬ್ಬಳ್ಳಿ ಆವೃತ್ತಿ ಮೂಲಕ ಉದಯವಾಣಿ ""ಕರಾವಳಿ"" ಬ್ರಾಂಡಿನಿಂದ ಆಚೆಗೆ ಯೋಚಿಸಿದೆ ಆದರೆ ಹುಬ್ಬಳ್ಳಿ ಆವೃತ್ತಿಯಲ್ಲಿ ನಾನು ಗಮನಿಸಿದಂತೆ ಈ ಕಡೆಯ ಭಾಷಾ ಬಳಕೆ ನಡೆದಿಲ್ಲ",Positive,Negetive,ಆದರೆ
56,ರಾಜ ಯೋಗ ಪ್ರಾಪ್ತಿ ಇದೆ ಎಂದಿದ್ದಾರೆ ಆದರೆ ಬದುಕಿನಲ್ಲಿ ಸುಖಪಟ್ಟಿಲ್ಲ,Positive,Negetive,ಆದರೆ
57,ಹಾಲು ಮತ್ತು ಬಾಳೆ ಹಣ್ಣನ್ನು ಮಿಲ್ಕ್ ಶೇಕ್ ಮಾಡಿ ಸೇವಿಸುವುದು ಸಾಮಾನ್ಯವಾಗಿ ಎಲ್ಲರಿಗೂ ಇಷ್ಟವೇ ಆದರೆ ಹಾಗೆ ಮಾಡಬೇಡಿ ಎನ್ನುತ್ತಾರೆ ತಜ್ಞರು,Positive,Negetive,ಆದರೆ
58,ಆದರೆ ಬಾಡಿ ಬಿಲ್ಡರ್ ಗಳು ಬಾಳೆ ಹಣ್ಣು ಮತ್ತು ಹಾಲು ಜತೆಯಾಗಿ ಸೇವಿಸಿದರೆ ಒಳ್ಳೆಯದೇ ಆದರೆ ತೂಕ ಇಳಿಸಲು ಬಯಸುವವರು ಇದನ್ನು ಸೇವಿಸಬೇಡಿ ಎನ್ನುತ್ತಾರೆ ತಜ್ಞರು,Positive,Negetive,ಆದರೆ
59,ನನಗೆ ಚೆನ್ನಾಗಿ ಕಲಿತು ಹೊರದೇಶದಲ್ಲಿ ನೆಲೆಗೊಳ್ಳಬೇಕೆಂಬ ಕನಸಿತ್ತು ಆದರೆ ಇದೀಗ ಬಣ್ಣದ ಲೋಕಕ್ಕೆ ಕಾಲಿಟ್ಟಾಗಿದೆ,Nutral,Nutral,ಆದರೆ
60,ಆಮದನ್ನು ತಗ್ಗಿಸಲು ಸರಕಾರ ತೆಗೆದುಕೊಂಡಿರುವ ಈ ಕ್ರಮ ಸ್ವಾಗತಾರ್ಹವೇನೋ ಸರಿ ಆದರೆ ತಾತ್ಕಾಲಿಕವಾಗಿ ಗ್ರಾಹಕರ ಮೇಲೆ ಬೀಳಲಿರುವ ಹೊರೆ ತಪ್ಪಿಸುವವರು ಯಾರು ಎಂಬುದು ಪ್ರಶ್ನೆ,Positive,Nutral,ಆದರೆ
61,ಆಫೀಸಿಗೊಬ್ಬ ಬಾಸ್ ಇದ್ರೂ ಕೆಲವೊಮ್ಮೆ ಬಾಸ್ ನ ಪಿಎನೇ ಬಾಸ್ ಥರ ವರ್ತಿಸೋದುಂಟು ಅಥವಾ ಬಾಸ್ ಗಿಂತ ಎರಡು ಪಟ್ಟು ಹೆಚ್ಚೇ ಅಧಿಕ ಪ್ರಸಂಗ ತೋರಿಸುವುದುಂಟು,Negetive,Negetive,ಅಥವಾ
62,ಪ್ರತಿ ವರ್ಷ ರಾಖಿ ಹಬ್ಬ ಬಂದಾಗಲೂ ಅವರಿಗೆ ರಾಖಿ ಕಟ್ಟುತ್ತೇನೆ ಆದರೆ ಬೆಂಗಳೂರಿಗೆ ಬಂದು ಎರಡು ವರ್ಷ ಆದರೂ ಕೈಯಾರೆ ರಾಖಿ ಕಟ್ಟುವ ಭಾಗ್ಯ ದೊರೆತಿಲ್ಲ,Positive,Negetive,ಆದರೆ
63,ಮಧ್ಯಮ ವರ್ಗ ಮತ್ತು ದೇಶದ ಪ್ರಗತಿಗೆ ಅಣು ಒಪ್ಪಂದ ಸಹಕಾರಿ ಆದ್ದರಿಂದ ಅಣುಒಪ್ಪಂದವನ್ನು ನಾನು ಬೆಂಬಲಿಸುತ್ತೇನೆ,Positive,Positive,ಆದ್ದರಿಂದ
64,ಒಂದಷ್ಟು ಖುಷಿ ಖುಷಿ ಕ್ಷಣಗಳನ್ಮು ಅವಳೂ ಬಿಚ್ಚಿದ್ದಳು ಆದರೆ ಅವಳ ಇಬ್ಬರೂ ಪುಟ್ಟ ಕಂದಮ್ಮಗಳು ಮೊಬೈಲ್ ಕೊಡು ಎಂದು ಅಮ್ಮನತ್ರ ಜಗಳ ಆಡುತ್ತಿದ್ದವು,Positive,Negetive,ಆದರೆ
65,ಇದೆಲ್ಲಾ ಹಳೆಯ ವಿಚಾರ ಅಂದುಬಿಡಬಹುದು ಆದರೆ ಯಾಕೋ ನನ್ನ ತೃಪ್ತಿಗೆ ನಾನು ಬರೆಯುತ್ತಿದ್ದೇನೆ ಅಷ್ಟೇ,Negetive,Positive,ಆದರೆ
66,ನಾಯಕರ ಮೇಲೆ ಹೆಮ್ಮೆ ಇದೆಆದರೆ ತಾವುಗಳು ಇಂತಹ ಮೊಂಡು ಹೇಳಿಕೆಯನ್ನು ನೀಡಿ  ಇದ್ದ ಗೌರವವನ್ನು ಕಡಿಮೆ ಮಾಡುವ ಪ್ರಯತ್ನ ಮಾಡಬೇಡಿ,Positive,Nutral,ಆದರೆ
67,ಇನ್ನೊಂದು ಸರ್ಜರಿ ಆಗಬೇಕಿತ್ತು ಆದರೆ ಆರ್ಥಿಕ ಮುಗ್ಗಟ್ಟಿನಿಂದಿದ್ದ ಈ ಕುಟುಂಬಕ್ಕೆ ಸರ್ಜರಿ ಮಾಡಿಸಲು ತಕ್ಷಣಕ್ಕೆ ಸಾಧ್ಯವಾಗಿರಲಿಲ್ಲ,Nutral,Negetive,ಆದರೆ
68,ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ಸರ್ಕಾರಿ ಮುದ್ರಣಾಲಯಗಳ ಮೂಲಕ ಅಗತ್ಯವಿದ್ದಷ್ಟು ನೋಟು ಮುದ್ರಿಸುತ್ತಿದ್ದಾರೆ ಆದರೆ ಆ ನೋಟುಗಳನ್ನು ಬ್ಯಾಂಕುಗಳು ಮತ್ತು ಅಂಚೆ ಕಛೇರಿಗಳಿಗೆ ತಲುಪಿಸುವುದರಲ್ಲಿ ಸ್ವಲ್ಪ ತಡವಾಗಿದೆ,Positive,Negetive,ಆದರೆ
69,ಸರ್ಕಾರದ ಕ್ರಿಯಾಶೀಲತೆ ಕುರಿತು ಟೀಕಿಸುವವರು ಅನೇಕರಿದ್ದಾರೆ ಆದರೆ ನಾವು ಮತದಾರರಿಗೆ ನೀಡಿದ್ದ ಭರವಸೆಯಂತೆ ಪ್ರಾಮಾಣಿಕವಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದೆವೆ,Negetive,Positive,ಆದರೆ
70,ಮತ್ತು ಗೆದ್ದ ದಿನದಿಂದಲೇ ಮುಂದಿನ ಚುನಾವಣೆಗೆ ಸಿದ್ಧಗೊಳ್ಳುವ ಅಥವಾ ಅದಕ್ಕಾಗಿ ತಲೆಕೆಡಿಸಿಕೊಂಡು ಕೆಟ್ಟ ಕೆಟ್ಟ ಕೆಲಸಗಳಲ್ಲಿ ತೊಡಗುವ ಒಂದು ದುರ್ವೇದಿಕೆಯಾಗಿ ಏರ್ಪಟ್ಟಿದೆ,Nutral,Negetive,ಅಥವಾ
71,ಮೊದ ಮೊದಲು ಆ ದೇವರು ತನಗೊಬ್ಬನಿಗೆ ಮಾತ್ರ ಏಕೆ ಈ ದುಸ್ಥಿತಿ ತಂದ ಎಂದು ಪ್ರಶ್ನೆ ಹಾಕಿಕೊಳ್ಳುತ್ತಿತ್ತು ಆದರೆ ನಂತರ ಆ ಕುರಿತು ಚಿಂತಿಸಿ ಫಲವಿಲ್ಲ ಎಂದರಿತು ಇತರರ ಹೀಯಾಳಿಕೆಗಳಿಗೆ ಬೇಜಾರು ಪಟ್ಟುಕೊಳ್ಳುವುದನ್ನು ನಿಲ್ಲಿಸಿತು,Negetive,Positive,ಆದರೆ
72,ಒಂದು ಸಾವನ್ನು ತಮಾಷೆಯಾಗಿ ನೋಡುವುದು ತುಸು ಕಷ್ಟ ಆದರೆ ಶೈಲೇಶ್ ಕುಮಾರ್ ಎಂಎಂ ಆ ಕೆಲಸವನ್ನು ಬಹಳ ನಾಜೂಕಿನಿಂದ ಮಾಡಿದ್ದಾರೆ,Nutral,Positive,ಆದರೆ
73,ಜೊತೆಗೆ ಚೀನಾದ ಹಲವು ಕ್ಲಬ್ಗಳ ವಿರುದ್ಧ ಪಂದ್ಯವನ್ನೂ ಆಡಿದೆ ಆದ್ದರಿಂದ ಭಾರತ ಮೊದಲ ಪೈಪೋಟಿಯಲ್ಲಿ ಉತ್ತಮ ಪ್ರದರ್ಶನ ತೋರುವ ವಿಶ್ವಾಸ ಹೊಂದಿದೆ,Nutral,Positive,ಆದ್ದರಿಂದ
74,ಇದಲ್ಲದೇ ಇನ್ನುಳಿದ ಸಾಲ ಮೊತ್ತವನ್ನು ಹಂತಹಂತವಾಗಿ ಕಂತುಗಳಲ್ಲಿ ಮನ್ನಾ ಮಾಡುವುದಾಗಿ ಭರವಸೆ ನೀಡಿದ್ದಾರೆ ಆದರೆ ಕಂತುಗಳಲ್ಲಿ ಸಾಲ ಮನ್ನಾ ಮಾಡುವ ವಿಧಾನ  ಹೇಗೆ ಎಂಬುದರ ಬಗ್ಗೆ ಸ್ಪಷ್ಟೀಕರಣ ನೀಡಿಲ್ಲ,Positive,Negetive,ಆದರೆ
75,ವಿಧಾನಸಭೆ ಚುನಾವಣೆಯಲ್ಲಿ ಮತ ಹಾಕಿದ್ವಿ ಆದರೆ ಈ ಬಾರಿ ಪಟ್ಟಿಯಲ್ಲಿ ಹೆಸರು ನಾಪತ್ತೆಯಾಗಿದೆ ಎಂದು ತಮ್ಮ ಅಸಮಾಧಾನ ಹೊರಹಾಕಿದರು,Nutral,Negetive,ಆದರೆ
76,ಬಜೆಟ್ನಲ್ಲಿ ಕೃಷಿ ಉತ್ಪನ್ನಗಳಿಗೆ ಬೆಲೆ ಕುಸಿತ ಉಂಟಾದಾಗ ಬೆಂಬಲ ಬೆಲೆ ಕೊಡುವುದಾಗಿ ಘೋಷಿಸಿದೆ ಆದರೆ ಅದರ ವೈಜ್ಞಾನಿಕ ನಿಲುವು ಪ್ರಕಟವಾಗಿಲ್ಲ,Positive,Nutral,ಆದರೆ
77,! ಒಂದೇ ಸಲಕ್ಕೆ ಅರ್ಥವಾಗುವುದಿಲ್ಲಆದರೆ ಕೌತುಕ ಹುಟ್ಟಿಸುತ್ತದೆ,Negetive,Positive,ಆದರೆ
78,ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ಅಪಾರ ಖನಿಜ ಸಂಪತ್ತು ಇದೆ ಆದರೆ ಅದರಿಂದ ಯುಎಸ್ ಗೆ ಉಪಯೋಗವಾಗುತ್ತಿಲ್ಲ,Positive,Negetive,ಆದರೆ
79,ನನಗೆ ಅಷ್ಟು ಬರೆಯಲು ತಾಳ್ಮೆ ಇರಲಿಲ್ಲ ಅನ್ನಬಹುದು ಅಥವಾ ಅದನ್ನು ಅರ್ಥ ಮಾಡಿಸುವ ಹಾಗೆ ಬರೆಯಲು ಆಗಲೂ ಇಲ್ಲ ಅನ್ನಬಹುದು,Negetive,Negetive,ಅಥವಾ
80,ಮಾರುಕಟ್ಟೆಗೆ ಹೊಸ ಹೊಸ ಮೊಬೈಲ್ಗಳು ಬರುತ್ತಿವೆ ಆದರೆ ಈ ಹೊಸ ಮೊಬೈಲ್ಗಳ ನಡುವೆಯೂ ಹಳೆ ಮೊಬೈಲ್ಗಳ ಬೇಡಿಕೆ ಕುಸಿದಿಲ್ಲ,Positive,Positive,ಆದರೆ
81,ಯಾಕೆಂದರೆ ಇವು ಮನೆಯ ಸೌಂದರ್ಯವನ್ನು ಹೆಚ್ಚಿಸುತ್ತವೆ ಆದರೆ ಯಾವಾಗ ಬೇಕಾದ್ರೂ ಮನೆಗೆ ಪೀಠೋಪಕರಣ ಹಾಗೂ ಮರದ ವಸ್ತುಗಳನ್ನು ತರುವುದು ಒಳ್ಳೆಯದಲ್ಲ,Positive,Negetive,ಆದರೆ
82,ಈತ ಸ್ವಾತಂತ್ರೊತ್ಸವದಂದು ಬೆಟ್ಟವೇರಿದ್ದು ತುದಿಯಿಂದ ಬಿದ್ದಿದ್ದಾನೆ ಆದರೆ ಈ ಸಾವು ಆತ್ಮಹತ್ಯೆಯೋ ಅಥವಾ ಆಕಸ್ಮಿಕವೋ ಎಂಬುದು ವಿಚಾರಣೆಯಿಂದ ತಿಳಿಯಬೇಕಿದೆ,Negetive,Nutral,ಆದರೆ
83,ಜನ ಜೇಪೀ ಇನ್  ಫ್ರಾಟೆಕ್ ದಿಂದ ಅಪಾರ್ಟ್ಮೆಂಟ್ ಖರೀದಿಸಿದ್ದರು ಆದರೆ ಅವರಿಗೆ ಆ ಮನೆಗಳನ್ನು ನೀಡುವಲ್ಲಿ ಜೇಪೀ ವಿಫಲವಾಗಿದೆ,Nutral,Negetive,ಆದರೆ
84,ಈ ಹೃದಯದಲ್ಲಿ ಹುಟ್ಟಿದ ಮೊದಲ ಪ್ರೀತಿ ನೀನು ಆದರೆ ಇಷ್ಟು ಬೇಗ ನನ್ನ ಹೃದಯ ನಿನಗೆ ಬೇಸರವಾಗುತ್ತದೆ ಎಂದು ಊಹಿಸಿರಲಿಲ್ಲ,Positive,Negetive,ಆದರೆ
85,ರೋಗಿಯು ಹೆಚ್ಚುವರ್ಷ ಬದುಕಬಹುದೆಂದು ಮನದಟ್ಟು ಮಾಡಿದರು ಆದರೆ ತರುಣಿ ಅದಾದ 4 ತಿಂಗಳಲ್ಲೇ ಮರಣ ಹೊಂದಿದಳು,Positive,Negetive,ಆದರೆ
86,ಭಾಷೆಯ ನಾಶವೆಂದರೆ ಅದು ಸಂಸ್ಕೃತಿಯ ನಾಶ ಎಂದೇ ಹೇಳಬೇಕು ಆದರೆ ಸಂಪರ್ಕ ಮತ್ತು ಏಕತೆಯ ಹೆಸರಿನಲ್ಲಿ ಏಕ ಭಾಷೆಯ ಅಧಿಪತ್ಯ ಸ್ಥಾಪಿಸಹೊರಟಿರುವುದು ಮೂರ್ಖತನದ ದ್ಯೋತಕವಾಗಿದೆ,Negetive,Negetive,ಆದರೆ
87,ಸಾಹಿತ್ಯ ಕೃತಿಗಳ ಓದು ಬದುಕಿನ ಆತ್ಮವಿಶ್ವಾಸವನ್ನು ಹಿಗ್ಗಿಸುವ ಜೊತೆಗೆ ಅಗಾಧ ಜ್ಞಾನ ಬದಗಿಸುವ ಶಕ್ತಿ ಬಂದಿದೆ ಆದ್ದರಿಂದ ವಿದ್ಯಾರ್ಥಿಗಳು ದಿನದ ಕೆಲಸಮಯ ಉತ್ತಮ ಕೃತಿಗಳನ್ನು ಓದಬೇಕು,Positive,Nutral,ಆದ್ದರಿಂದ
88,ಅದಕ್ಕೆ ನೆಹರು ಆಕ್ಷೇಪ ವ್ಯಕ್ತಪಡಿಸಿದ್ದರಂತೆ ಆದರೆ ನೆಹರು ನಿಧನದನಂತರ ಅವರಿಗೆ ಶ್ರದ್ಧಾಂಜಲಿ ಸಲ್ಲಿಸುವ ಸಲುವಾಗಿ ಅವರ ಹೆಸರನ್ನೇ ಇಡಲಾಯಿತಂತೆ,Negetive,Nutral,ಆದರೆ
89,ಜೆಎನ್ಯುವಿನಲ್ಲಿ ಅಟೆಂಡೆನ್ಸ್ ಕಡ್ಡಾಯವಲ್ಲ ಆದರೆ ವಿದ್ಯಾರ್ಥಿಗಳು ತಮ್ಮ ಗುರಿಯಿಂದ ದೂರ ಸರಿಯಬಾರದು ಅಷ್ಟೇ,Positive,Nutral,ಆದರೆ
90,ಸ್ಥಳೀಯ ಸ್ವಾತಂತ್ರ್ಯ ಹೋರಾಟಗಾರರನ್ನು ಸ್ಮರಿಸುವ ಕೆಲಸ ಭಾಗಶಃ ಆಗುತ್ತಿಲ್ಲ ಎನ್ನುವ ಅಸಮಾಧಾನ ಬಹುತೇಕರಲ್ಲಿದೆ ಆದರೆ ಈ ಬಾರಿ ಕೊಟ್ಟೂರಿನಲ್ಲಿ ದೇಶಕ್ಕಾಗಿ ಬಲಿದಾನ ಮಾಡಿದವರನ್ನು ಸ್ಮರಿಸುವ ಕೆಲಸ ಆಯಿತು,Negetive,Positive,ಆದರೆ
91,ಅಲ್ಪಸಂಖ್ಯಾಕರ ಮತ ಬೇಕು ಆದರೆ ಅವರು ಮೇಲೆ ಬರಬಾರದು ಅನ್ನುವ ದೃಷ್ಟಿಯಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಕೆಲಸ ನಿರ್ವಹಿಸುತ್ತಿದೆ ಎಂದು ಆರೋಪಿಸಿದರು,Nutral,Negetive,ಆದರೆ
92,ದೇಶಾದ್ಯಂತ ಅಲ್ಪಸಂಖ್ಯಾಕರಿಗೆ ಸರಕಾರ ವಿವಿಧ ಯೋಜನೆಗಳನ್ನು ಜಾರಿಗೊಳಿಸಿದೆ ಆದರೆ ಜನಪ್ರತಿನಿಧಿಗಳು ಅದನ್ನು ತಲುಪಿಸುವಲ್ಲಿ ವಿಫಲವಾಗಿದ್ದಾರೆ ಎಂದರು,Positive,Negetive,ಆದರೆ
93,ಪಂಚಾಯತ್ನ ಸಹಕಾರವೂ ದೊರೆತಿರಲಿಲ್ಲ ಆದರೆ ವಾಟ್ಸಪ್ ಗ್ರೂಪ್ನಲ್ಲಿ ಸಮಸ್ಯೆ ಬಗ್ಗೆ ತಿಳಿಸಿದ ತತ್ಕ್ಷಣ ಬಿಜೆಪಿ ಮುಖಂಡರು ಟ್ಯಾಂಕರ್ ಮೂಲಕ ನೀರು ಒದಗಿಸುವ ಮೂಲಕ ಇಡೀ ಜನರಿಗೆ ಸಹಕರಿಸಿದ್ದಾರೆ ಎಂದು ತಿಳಿಸಿದರು,Negetive,Positive,ಆದರೆ
94,ರೈತರ ಮನಗೆಲ್ಲುವ ಪ್ರಯತ್ನವೇನೋ ಮಾಡಿದೆ ಆದರೆ ಕರ್ನಾಟಕದ ರೈತರ ಪಾಲಿಗೆ ಅಷ್ಟೇನು ಲಾಭದಾಯಕವಲ್ಲ,Positive,Negetive,ಆದರೆ
95,ಯಾರನ್ನಾದರೂ ಅಮೇರಿಕಾ ಇಲ್ಲವೇ ಇಂಗ್ಲೇಂಡಿನಿಂದ ಕರೆಸುವದೇ ಎಂದು ಮೊದಲಾಗಿ ಸಲಹೆಗಳು ಬಂದವು ಆದರೆ ಅಂಬೇಡ್ಕರವರ ಪ್ರತಿಭೆಯ ಪರಿಚಯವಿದ್ದು ಕೆಲವು ಪ್ರಮುಖರು ಸಂವಿಧಾನವನ್ನು ರೂಪಿಸಲು ಅವರ ಹೆಸರನ್ನು ಸೂಚಿಸಿದರು,Nutral,Nutral,ಆದರೆ
96,ನಾನು ಹಿಂದೂ ಸಂಸ್ಕೃತಿಯಿಂದ ವಂಚಿತನಾಗುತ್ತೇನೆ ಆದ್ದರಿಂದ ಹಿಂದೂ ಸಂಸ್ಕೃತಿ ಹಾಗೂ ಪರಿಪೂರ್ಣ ಸಮಾನತೆಯುಳ್ಳ ಬೌದ್ಧಮತವನ್ನು ಸ್ವೀಕರಿಸುತ್ತೇನೆ,Negetive,Nutral,ಆದ್ದರಿಂದ
97,ನಟ ನಟಿಯರ ಜೊತೆ ಸ್ನೇಹ ಬೆಳೆಸುವುದು ಸಹಜ ಆದರೆ ಇದನ್ನೇ ದೊಡ್ಡ ವಿವಾದ ಮಾಡಲಾಯಿತು,Nutral,Negetive,ಆದರೆ
98,ಕರಾವಳಿಯಲ್ಲಿ ಅಭಿವೃದ್ಧಿಆಧುನೀಕರಣ ನಡೆದಿದೆಆದರೆ ಇತರ ಪ್ರದೇಶಗಳು ಹಿಂದುಳಿದಿವೆ,Positive,Negetive,ಆದರೆ
99,ನೀವು ಹೋಗುತ್ತಿರುವ ದಾರಿ ಸರಿಯಾದುದೇ ಆದರೆ ನಿಮ್ಮ ಸಂಗಡ ಇತರರನ್ನು ಕರೆದುಕೊಂಡು ಹೋಗಬೇಕೆನ್ನುವ ನಿಮ್ಮ ಜಾಣ್ಮೆ ಮೆಚ್ಚುವಂತಹದು,Positive,Positive,ಆದರೆ
100,ಸರಕಾರಿ ಸಭೆ ಸಮಾರಂಭಗಳಲ್ಲಿ ಪ್ಲ್ಯಾಸ್ಟಿಕ್ ನೀರಿನ ಬಾಟಲ್ ತರಿಸಲಾಗುತ್ತದೆ ಆದರೆ ನೀರು ಬಳಕೆಯಾಗುವುದು ಕಡಿಮೆ,Positive,Nutral,ಆದರೆ
101,ಮೀಡಿಯಾ ರೂಂನಲ್ಲಿ ಮೂಲಭೂತವಾಗಿ ವಿದ್ಯುತ್ ಮತ್ತು ಸೌಂಡ್ಗೆ ವೈರಿಂಗ್ ಮಾಡುವಲ್ಲಿ ಸರಿಯಾದ ಪ್ಲಾನ್ ಮಾಡಬೇಕಾಗುತ್ತದೆ ಆದ್ದರಿಂದ ಬಳಕೆ ಮಾಡುವ ಉಪಕರಣಗಳ ಪಟ್ಟಿಯನ್ನು ಮೊದಲು ತಯಾರಿಸಿಕೊಳ್ಳಬೇಕು,Nutral,Nutral,ಆದ್ದರಿಂದ
102,ಅದು ಮುಗಿದ ಮೇಲೆ ಶ್ರೀದೇವಿ ಮೃತದೇಹವನ್ನ ಭಾರತಕ್ಕೆ ತರಲಾಗುತ್ತದೆ ಆದರೆ ದುಬೈ ಪೊಲೀಸರು ಪ್ರಮುಖವಾಗಿ 5 ಅನುಮಾನಗಳ ಮೇಲೆ ತನಿಖೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ,Nutral,Nutral,ಆದರೆ
103,ಕೆಲವು ಮಂದಿ ಬ್ಯಾಟರಿ ಬ್ಯಾಕ್ಅಪ್ಗಳನ್ನು ಹಿಡಿದುಕೊಂಡು ತೆರಳುತ್ತಾರೆ ಆದರೆ ಎಲ್ಲರಿಗೂ ಅದು ಸಾಧ್ಯವಿಲ್ಲ,Nutral,Negetive,ಆದರೆ
104,ಕಿವಿಗೆ ಇಯರ್ ಫೋನ್ ಸಿಕ್ಕಿಸಿಕೊಂಡು ತಮ್ಮಷ್ಟಕ್ಕೆ ತಾವೇ ಮಾತಾಡುತ್ತಿದ್ದಾರೆಂಬಂತೆ ಅಥವಾ ತಮ್ಮಷ್ಟಕ್ಕೇ ತಾವೇ ವಿಭಿನ್ನ ಹಾವಭಾವಗಳನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತಿದ್ದಾರೋ ಎಂಬಂತಿರುವವರನ್ನು ಕಂಡಾಗ ಅನ್ನಿಸಿದ್ದಿದು,Nutral,Nutral,ಅಥವಾ
105,ಕೆಲವೊಂದು ಅವಕಾಶ ಸಿಕ್ಕರೂ ಅವುಗಳನ್ನ ಬಳಸಿಕೊಳ್ಳಲು ವಿಫಲಗೊಂಡಿದ್ದು ಎಲ್ಲರಿಗೂ ಗೊತ್ತಿರುವ ಸಂಗತಿ ಆದರೆ ಸದ್ಯದ ಪರಿಸ್ಥಿತಿ ನೋಡಿದಾಗ ಅವರಿಗೆ ಮತ್ತೊಂದು ಚಾನ್ಸ್  ನೀಡುವ ಸಾಧ್ಯತೆ ಕಂಡು ಬರುತ್ತಿದೆ,Negetive,Positive,ಆದರೆ
106,ತಮ್ಮ ರೈತು ಚಿತ್ರದಲ್ಲಿ ನಟಿಸುವಂತೆ ಮನವಿ ಮಾಡಿಕೊಂಡಿದ್ದರು ಆದರೆ ಅಮಿತಾಭ್  ಅದ್ಯಾಕೋ ಈ ಚಿತ್ರಕ್ಕೆ ಒಲ್ಲೆ ಎಂದು ಬಿಟ್ಟರು,Nutral,Negetive,ಆದರೆ
107,ಇಂಥ ಎಡವಟ್ಟುಗಳು ಆಗೊಮ್ಮೆ ಈಗೊಮ್ಮೆ ವರದಿಯಾಗುವುದೇನೋ ಸರಿ ಆದರೆ ಜನರ ಗಮನಕ್ಕೆ ಬಾರದೆಯೇ ಏನೆಲ್ಲ ನಡೆಯುತ್ತಿರಬಹುದು ಎಂಬುದನ್ನು ಒಮ್ಮೆ ಕಲ್ಪಿಸಿಕೊಂಡರೆ ಆತಂಕವಾಗುತ್ತದೆ,Nutral,Negetive,ಆದರೆ
108,ಮಹಿಳಾ ವಾಹನ ಚಾಲಾನೆ ಪರವಾನಗಿ ಕೂಡ ಈ ಯೋಜನೆಯ ಮಹತ್ವದ ತೀರ್ಮಾನವಾಗಿದೆ ಆದರೆ ಸರ್ಕಾರದ ಈ ನಿರ್ಧಾರದಿಂದ ಸೌದಿಯಲ್ಲಿ ಕಾರ್ಯ ನಿರ್ವಹಿಸುವ ಭಾರತ ಸೇರಿದಂತೆ ಹಲವು ರಾಷ್ಟ್ರಗಳ ವಾಹನ ಚಾಲಕರು ಉದ್ಯೋಗ ಕಳೆದುಕೊಳ್ಳಲಿದ್ದಾರೆ,Positive,Negetive,ಆದರೆ
109,ಅತಿ ಹೆಚ್ಚಿನ ಉಪ್ಪು ಇರುವ ಆಹಾರ ನಿಮಗೆ ಇಷ್ಟವೇ ಇರಬಹುದು ಆದರೆ ಇದು ರಕ್ತದೊತ್ತಡವನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ,Positive,Negetive,ಆದರೆ
110,ಸಾಮಾನ್ಯವಾಗಿ ಹೋಟೆಲುಗಳಲ್ಲಿ ಬಿಸಿಬಿಸಿಯಾಗಿ ಬಡಿಸುವ ಸೂಪ್ ಗಳು ಅವರು ಸ್ವಂತವಾಗಿ ತಯಾರಿಸಿರಿಲಿಕ್ಕಿಲ್ಲ ಅಥವಾ ಮನೆಯಲ್ಲಿಯೇ ನೀವು ಸಿದ್ಧರೂಪದ ಪ್ಯಾಕೆಟ್ ಬಿಸಿ ಮಾಡಿ ಸೂಪ್ ಸವಿದಿರಬಹುದು,Negetive,Nutral,ಅಥವಾ
111,ಅಲ್ಲದೇ ಸೂಪ್ ನಲ್ಲಿ ಹೆಚ್ಚಿನ ಉಪ್ಪು ಸಹಾ ಇದ್ದು ನರಗಳನ್ನು ದೃಢಗೊಳಿಸುತ್ತವೆ ತನ್ಮೂಲಕ ಹೃದಯದ ಸ್ತಂಭನದ ಸಾಧ್ಯತೆ ಹೆಚ್ಚಿಸುತ್ತದೆ ಆದ್ದರಿಂದ ಹೃದಯ ಆರೋಗ್ಯಕ್ಕಾದರೂ ಸರಿ ಮನೆಯಲ್ಲಿಯೇ ಸೂಪ್ ತಯಾರಿಸಿ ಸೇವಿಸಿ,Negetive,Nutral,ಆದ್ದರಿಂದ
